Subject,DocUnderstanding,Fixation Count,Fixation Duration,Forward Saccade Count,Backward Saccade Count,Ratio Forward/Backward,Velocity,Forward Saccade Length,Backward Saccade Length,,,,,,,,,,
7,2,240,464.0708333,163,76,2.144736842,0.232521749,78.95649055,-168.2412086,,,,,,,,,,
7,5,224,456.5178571,179,44,4.068181818,0.220526787,69.900706,-288.5839857,,,,,,,,,,
7,5,71,365.4507042,55,15,3.666666667,0.295413509,90.74239818,-330.548073,,,,,,,,,,
7,5,46,300.3695652,37,8,4.625,0.412284334,103.628063,-444.9263163,,,,,,,,,,
7,4,317,484.2776025,239,77,3.103896104,0.196507123,69.18616851,-215.011595,,,,,,,,,,
7,5,126,435.7222222,110,15,7.333333333,0.273422748,80.72911104,-535.0830486,,,,,,,,,,
7,5,87,386.8390805,63,23,2.739130435,0.327149094,107.8028874,-307.0705236,,,,,,,,,,
8,3,301,513.9368771,250,50,5,0.196291911,59.74438416,-304.8926311,,,,,,,,,,
8,3,189,451.0793651,136,52,2.615384615,0.194961036,74.46751543,-196.6311788,,,,,,,,,,
8,2,220,344.7545455,162,57,2.842105263,0.201533325,74.6474725,-216.3475296,,,,,,,,,,
8,3,161,422.6645963,134,26,5.153846154,0.165979966,57.79549515,-246.2838185,,,,,,,,,,
8,4,97,272.3608247,71,25,2.84,0.271633382,108.9565378,-310.0029751,,,,,,,,,,
8,4,92,383.6630435,68,23,2.956521739,0.217596086,81.78445136,-239.9305139,,,,,,,,,,
8,5,45,294.2666667,33,11,3,0.187731572,74.07528777,-198.0068131,,,,,,,,,,
8,3,227,410.7973568,185,41,4.512195122,0.163688721,57.72713608,-260.1677057,,,,,,,,,,
8,3,37,257.4324324,26,10,2.6,0.195099701,117.4656633,-238.6652297,,,,,,,,,,
8,4,163,353.2147239,129,33,3.909090909,0.226314154,79.44724699,-277.4658361,,,,,,,,,,
8,2,139,330.4964029,115,23,5,0.171815779,58.19389257,-235.0449989,,,,,,,,,,
8,3,110,315.6181818,76,33,2.303030303,0.16313738,61.90180426,-143.5479324,,,,,,,,,,
8,2,162,265.8271605,125,36,3.472222222,0.330186355,92.88154204,-305.5705107,,,,,,,,,,
8,3,121,472.9338843,93,27,3.444444444,0.193301593,64.70321466,-252.8468827,,,,,,,,,,
8,2,123,279.8455285,95,27,3.518518519,0.320918073,89.38462441,-305.72898,,,,,,,,,,
8,4,108,323.5462963,89,18,4.944444444,0.346687383,87.79340572,-403.7837982,,,,,,,,,,
8,5,25,215.76,21,3,7,0.306375907,142.7446301,-492.7108265,,,,,,,,,,
8,3,142,303.3591549,112,29,3.862068966,0.211089589,80.30745725,-296.3891694,,,,,,,,,,
8,3,114,311.622807,76,37,2.054054054,0.339159121,110.1094411,-208.7410143,,,,,,,,,,
9,2,281,281.6156584,197,83,2.373493976,0.154699514,72.65326743,-171.3134208,,,,,,,,,,
9,3,305,272.4393443,194,110,1.763636364,0.226986178,117.5961267,-202.7124164,,,,,,,,,,
9,2,394,252.1243655,252,141,1.787234043,0.156357911,82.46178623,-141.442471,,,,,,,,,,
9,3,276,276.2246377,190,85,2.235294118,0.150530063,83.15484331,-178.6567364,,,,,,,,,,
9,5,137,219.5182482,95,41,2.317073171,0.182223711,128.6383078,-298.7230785,,,,,,,,,,
9,2,132,237.1515152,84,47,1.787234043,0.127474323,84.97878728,-152.5440494,,,,,,,,,,
9,3,432,241.7546296,271,160,1.69375,0.153373579,85.33941066,-142.5104137,,,,,,,,,,
9,2,196,245.4387755,133,62,2.14516129,0.156889589,85.33119596,-171.2121999,,,,,,,,,,
9,4,100,237.82,68,31,2.193548387,0.152465587,79.56812821,-174.5961301,,,,,,,,,,
9,3,153,213.1503268,99,53,1.867924528,0.143693305,88.95439165,-155.7802437,,,,,,,,,,
9,3,381,215.2230971,265,115,2.304347826,0.171122998,97.88714068,-222.4088174,,,,,,,,,,
9,3,90,198.3,65,24,2.708333333,0.188082591,120.6563316,-304.3764529,,,,,,,,,,
9,5,84,200.0119048,51,32,1.59375,0.169684662,139.7140944,-230.0325487,,,,,,,,,,
